gopal v,Gopal V,Hortonworks
greg roelofs,Greg Roelofs,Yahoo!
gregory,Gregory Chanan,Cloudera
gregory chanan,Gregory Chanan,Cloudera
gunther hagleitner,Gunther Hagleitner,Hortonworks
hagleitn,Gunther Hagleitner,Hortonworks
hairong,Hairong Kuang,Facebook
hairong kuang,Hairong Kuang,Facebook
hari mankude,Hari Mankude,Hortonworks
hari shreedharan,Hari Shreedharan,Cloudera
harsh,Harsh J,Cloudera
harsh j,Harsh J,Cloudera
harsh j chouraria,Harsh J,Cloudera
hashutosh,Ashutosh Chauhan,Hortonworks
he yongqiang,He Yongqiang,Facebook
hemanth yamijala,Hemanth Yamijala,Thoughtworks
henry,Henry Robinson,Cloudera
henry robinson,Henry Robinson,Cloudera
hitesh,Hitesh Shah,Hortonworks
hitesh shah,Hitesh Shah,Hortonworks
hitest,Hitesh Shah,Hortonworks
holstad,Erik Holstad,Xen
hong tang,Hong Tang,Yahoo!
hrishikesh,Hrishikesh,Persistent
hshreedharan,Hari Shreedharan,Cloudera
ian nowland,Ian Nowland,Amazon
igor bolotin,Igor Bolotin,Collarity
ivan kelly,Ivan Kelly,Yahoo!
jaimin d jetly,Jaimin D Jetly,Hortonworks
jaimin jely,Jaimin D Jetly,Hortonworks
jaimin jetly,Jaimin D Jetly,Hortonworks
jakob glen homan,Jakob Glen Homan,Linkedin
jakob homan,Jakob Glen Homan,Linkedin
james kinley,James Kinley,Cloudera
jarcec,Jaroslav Cecho,Cloudera
jarek jarcec cecho,Jarek Jarcec Cecho,Cloudera
jaroslav cecho,Jaroslav Cecho,Cloudera
jason lowe,Jason Lowe,Yahoo!
jay booth,Jay Booth,Media6
jcoveney,Jonathan Coveney,Twitter
jdcryans,Jean-Daniel Cryans,Cloudera
jean-daniel cryans,Jean-Daniel Cryans,Cloudera
jeff ames,Jeff Ames,Midokura
jeff bean,Jeff Bean,Cloudera
jeff hammerbacher,Jeff Hammerbacher,Cloudera
jeff lord,Jeff Lord,Cloudera
jeff zhang,Jeff Zhang,Autodesk
jeffrey naisbitt,Jeffrey Naisbitt,Yahoo!
jeffrey zhong,Jeffrey Zhong,Hortonworks
jerome boulon,Jerome Boulon,Yahoo!
jesse yates,Jesse Yates,Salesforce
jghoman,Jakob Glen Homan,Linkedin
jianyong dai,Danial Dai,Hortonworks
jim kellerman,Jim Kellerman,Microsoft
jim plush,Jim Plush,Gravity
jimmy xiang,Jimmy Xiang,Cloudera
jing zhao,Jing Zhao,Hortonworks
jingguo yao,Jingguo Yao,Tianya
jingkei ly,Jingkei Ly,Detica
jitendra,Jitendra Nath Pandey,Hortonworks
jitendra nath pandey,Jitendra Nath Pandey,Hortonworks
jitendra pandey,Jitendra Nath Pandey,Hortonworks
jmhsieh,Jonathan Hsieh,Cloudera
joey echeverria,Joey Echeverria,Cloudera
johan,Johan Oskarsson,Twitter
johan oskarsson,Johan Oskarsson,Twitter
john george,John George,Yahoo!
john sichi,John Sichi,Facebook
john speidel,John Speidel,Hortonworks
john spiedel,John Speidel,Hortonworks
johnny zhang,Johnny Zhang,Cloudera
jolly chen,Jolly Chen,Cloudera
jon zuanich,Jon Zuanich,Cloudera
jonathan coveney,Jonathan Coveney,Twitter
jonathan eagles,Jonathan Eagles,Yahoo!
jonathan ellis,Jonathan Ellis,Datastax
jonathan hsieh,Jonathan Hsieh,Cloudera
jonathan natkins,Jonathan Natkins,Cloudera
jonathon hsieh,Jonathon Hsieh,Cloudera
josh wills,Josh Wills,Cloudera
joshua harlow,Joshua Harlow,Yahoo!
jothi padmanabhan,Jothi Padmanabhan,Yahoo!
joydeep sen sarma,Joydeep Sen Sarma,Facebook
joydeep sensarma,Joydeep Sensarma,Facebook
jsensarma,Joydeep Sen Sarma,Facebook
juhanic,Juhani Connolly,CyberAgent
julien le dem,Julien Le Dem,Twitter
jvs,John Sichi,Facebook
jxiang,Jimmy Xiang,Cloudera
jyates,Jesse Yates,Salesforce
kan zhang,Kan Zhang,Ibm
kang xiao,Kang Xiao,Baidu
kannan,Kannan Muthukkaruppan,Facebook
karthik,Karthik Ranganathan,Facebook
karthik kambatla,Karthik Kambatla,Cloudera
karthik ranganathan,Karthik Ranganathan,Facebook
kay kay,Karthik Kambatla,Cloudera
kevin odell,Kevin Odell,Cloudera
kevin peterson,Kevin Peterson,Wealthfront
kevin wilfong,Kevin Wilfong,Facebook
khorgath,Sushanth Sowmyan,Hortonworks
kihwal lee,Kihwal Lee,Yahoo!
klaas bosteels,Klaas Bosteels,Ning
koji noguchi,Koji Noguchi,Yahoo!
konstantin boudnik,Konstantin Boudnik,Karmasphere
konstantin shvachko,Konstantin Shvachko,Ebay
krishna ramachandran,Krishna Ramachandran,Yahoo!
lars francke,Lars Francke,Global Biodiversity Information Facility
lars george,Lars George,Cloudera
lars h,Lars Hofhansl,Salesforce
lars hofhansl,Lars Hofhansl,Salesforce
larsgeorge,Lars George,Cloudera
larsh,Lars Hofhansl,Salesforce
lee tucker,Lee Tucker,Yahoo!
